feature_id,start_frame,used_num,score,stereo_error[3],track_error_per_frame[3],truth_error_per_frame[4]
1034,74,1,1.0012,0 0 0,,
1039,74,1,0.729242,0 0 0,,
1041,74,1,0.420522,0 0 0,,
1042,74,1,2.8284,0 0 0,,
1044,74,1,2.46886,0 0 0,,
1047,74,1,1.63435,0 0 0,,
1048,74,1,3.46866,0 0 0,,
1049,74,1,53923.3,0 0 0,,
1050,74,1,1.46473,0 0 0,,
1052,74,1,0.352579,0 0 0,,
1053,74,1,0.850529,0 0 0,,
1056,74,1,8474.92,0 0 0,,
1057,74,1,0.68851,0 0 0,,
1060,74,1,0.306298,0 0 0,,
1061,75,1,1.51309,0 0 0,,
1063,75,1,0.767012,0 0 0,,
1064,75,1,0.181735,0 0 0,,
1065,75,1,1.67034,0 0 0,,
1067,75,1,0.685403,0 0 0,,
1070,75,1,1.9738,0 0 0,,
1073,75,1,25382.3,0 0 0,,
1074,75,1,0.81608,0 0 0,,
1076,75,1,0.560846,0 0 0,,
1077,75,1,1.21115,0 0 0,,
1078,75,1,1.11275,0 0 0,,
1079,75,1,0.734606,0 0 0,,
1082,75,1,0.192638,0 0 0,,
1084,75,1,0.69423,0 0 0,,
1086,75,1,0.738699,0 0 0,,
1087,75,1,0.420067,0 0 0,,
1088,75,1,0.594898,0 0 0,,
1091,75,1,0.679088,0 0 0,,
1092,75,1,0.317132,0 0 0,,
1093,75,1,1.44536,0 0 0,,
1094,75,1,0.316945,0 0 0,,
1095,75,1,0.686326,0 0 0,,
1096,75,1,0.264909,0 0 0,,
1100,75,1,0.479887,0 0 0,,
1102,75,1,0.701775,0 0 0,,
1104,75,1,27801.7,0 0 0,,
1106,76,1,0.799185,0 0 0,,
1107,76,1,2.52987,0 0 0,,
1108,76,1,1.84895,0 0 0,,
1109,76,1,0.635619,0 0 0,,
1110,76,1,1.76379,0 0 0,,
1111,76,1,1.09241,0 0 0,,
1112,76,1,0.204478,0 0 0,,
1115,76,1,0.652544,0 0 0,,
1116,76,1,0.43098,0 0 0,,
1118,76,1,0.713941,0 0 0,,
1120,76,1,22.6757,0 0 0,,
1121,76,1,0.509318,0 0 0,,
1127,76,1,0.836777,0 0 0,,
1128,76,1,1.94665,0 0 0,,
1129,76,1,3.98711,0 0 0,,
1130,76,1,1.45303,0 0 0,,
1131,76,1,0.432662,0 0 0,,
1132,76,1,1.96915,0 0 0,,
1133,76,1,0.573341,0 0 0,,
1136,76,1,0.527416,0 0 0,,
1140,76,1,2.31307,0 0 0,,
1143,76,1,0.472724,0 0 0,,
1147,77,1,379468,0 0 0,,
1149,77,1,0.608237,0 0 0,,
1150,77,1,1.14204,0 0 0,,
1154,77,1,3.04558,0 0 0,,
1157,77,1,0.522108,0 0 0,,
1159,77,1,0.493529,0 0 0,,
1160,77,1,0.353527,0 0 0,,
1161,77,1,0.19935,0 0 0,,
1162,77,1,0.248747,0 0 0,,
1167,77,1,0.287727,0 0 0,,
1168,77,1,1.51106,0 0 0,,
1170,77,1,17806.1,0 0 0,,
1172,77,1,0,0 0 0,,
1173,77,1,5.25753,0 0 0,,
1178,78,1,0.383817,0 0 0,,
